passenger_count,trip_distance,RatecodeID,total_amount,trip_duration,pickup_borough_Brooklyn,pickup_borough_EWR,pickup_borough_Manhattan,pickup_borough_Queens,pickup_borough_Staten Island,pickup_borough_Unknown,dropoff_borough_Brooklyn,dropoff_borough_EWR,dropoff_borough_Manhattan,dropoff_borough_Queens,dropoff_borough_Staten Island,dropoff_borough_Unknown,payment_type
1,3.52,1.0,29.16,31.766666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,18.12,2.0,61.86,28.966666666666665,False,False,True,False,False,False,False,False,False,True,False,False,1
1,1.35,1.0,15.96,12.433333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.69,1.0,9.96,4.65,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.3,1.0,15.95,9.45,False,False,True,False,False,False,False,False,True,False,False,False,1
6,2.7,1.0,20.38,14.833333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.4,1.0,14.76,12.183333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.4,1.0,14.75,9.65,False,False,True,False,False,False,False,False,True,False,False,False,1
1,8.47,1.0,47.31,27.95,False,False,True,False,False,False,False,False,False,True,False,False,1
1,0.0,5.0,99.36,0.1666666666666666,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.6,1.0,14.3,10.15,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.46,1.0,12.96,7.3,False,False,True,False,False,False,False,False,True,False,False,False,1
1,14.16,1.0,50.46,28.15,False,False,False,True,False,False,True,False,False,False,False,False,1
1,17.27,2.0,78.88,46.95,False,False,False,True,False,False,False,False,True,False,False,False,1
1,1.13,1.0,10.58,6.45,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.45,1.0,12.36,6.283333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,6.98,1.0,31.01,22.08333333333333,False,False,False,True,False,False,True,False,False,False,False,False,1
1,2.08,1.0,17.16,14.333333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
1,8.59,1.0,49.92,23.03333333333333,False,False,True,False,False,False,True,False,False,False,False,False,1
0,0.7,1.0,11.8,9.8,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.5,1.0,14.0,11.033333333333331,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.18,1.0,14.08,11.05,False,False,True,False,False,False,False,False,True,False,False,False,1
3,0.7,1.0,11.0,4.75,False,False,True,False,False,False,False,False,True,False,False,False,1
3,1.07,1.0,11.27,5.7,False,False,True,False,False,False,False,False,True,False,False,False,1
1,3.03,1.0,21.96,20.383333333333333,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.19,1.0,24.36,15.966666666666669,False,False,True,False,False,False,False,False,True,False,False,False,1
1,2.2,1.0,17.76,13.183333333333334,False,False,True,False,False,False,False,False,True,False,False,False,1
3,8.3,1.0,43.85,12.483333333333333,False,False,False,True,False,False,False,False,True,False,False,False,1
2,2.14,1.0,17.76,15.016666666666667,False,False,True,False,False,False,False,False,True,False,False,False,1
1,0.44,1.0,8.76,1.35,False,False,True,False,False,False,False,False,True,False,False,False,1
1,1.93,1.0,17.76,15.7,False,False,True,False,False,False,False,False,True,False,False,False,1
